For each nBits calculate their wOffset stats:
nBits count min median mean mode stdev skew kurtosis pvariance variance max mad cv medad stderr
453 671 -7233 -188 -429.04 -7093 3258.56 -0.18 -0.34 10602383.51 10618208 6948 2516.31 -759.5 1622 125.8
454 671 -7258 -502 -486.24 984 3207.45 -0.13 -0.17 10272402.55 10287734 7187 2419.59 -659.64 1525 123.82
455 671 -7269 -560 -593.52 -1259 3223.39 -0.13 -0.32 10374768.77 10390253 7174 2479.09 -543.1 1834 124.44
456 797 -7284 -799 -693.09 -530 3288.16 -0.03 -0.56 10798415.37 10811981 7253 2595.81 -474.42 2128 116.47
457 671 -7227 -556 -519.87 -2439 3222.91 -0.1 -0.53 10371636.93 10387117 7114 2537.12 -619.94 2003 124.42
458 671 -7323 -671 -731.21 -7260 3399.79 0.02 -0.5 11541380.09 11558606 7313 2691.76 -464.96 2131 131.25
459 671 -7319 -557 -545.29 2505 3254.1 -0.12 -0.45 10573395.52 10589177 7173 2555.89 -596.76 2001 125.62
460 1343 -7358 -616 -465.46 -1500 3668.5 -0.02 -0.87 13447875.68 13457896 7294 3027.01 -788.14 2796 100.1
461 671 -7373 -360 -239.44 -1445 3322.51 -0.13 -0.43 11022634.75 11039086 7364 2589.93 -1387.59 1902 128.26
462 671 -7387 -868 -709.08 -1233 3207.05 -0.04 -0.37 10269846.73 10285175 7143 2488.89 -452.28 1992 123.81
463 671 -7359 -676 -452.43 -50 3146.23 -0.05 -0.39 9883990.93 9898743 7217 2447.01 -695.41 1809 121.46
464 2687 -7419 -599 -542.27 -1783 3678.32 -0.01 -0.9 13524975.66 13530011 7422 3058.28 -678.32 2852 70.96
465 1343 -7416 -159 -166.6 1307 3639.14 -0.03 -0.82 13233505.79 13243367 7420 2993.4 -2184.41 2628 99.3
466 2015 -7456 -847 -703.85 183 3738.9 0.05 -0.94 13972470.66 13979408 7412 3117.94 -531.2 2973 83.29
467 1343 -7470 -315 -542.11 -470 3338.45 -0.16 -0.53 11136964.57 11145263 7360 2660.89 -615.82 2045 91.1
468 671 -7484 -431 -388.25 1383 3963.51 0.0 -1.12 15686024.93 15709437 7479 3404.18 -1020.87 3391 153.01
grouped nBits stats:
min median mean mode stdev skew kurtosis pvariance variance max mad cv medad stderr
-7484 -675.0 -483.52 -3613 3077.17 0.15 -0.86 9468907.2 9468961 7479 2605.29 -636.41 2507.0 7.36
